,3,153
2019,0,4,82
2021,0,4,86
2023,0,3,89
2024,0,3,92
2026,0,4,98
2027,0,3,110
2029,0,5,117
2030,0,4,130
2032,0,5,140
2034,0,5,149
2035,0,5,161
2037,0,3,166
2038,0,2,176
2040,0,2,180
2042,0,4,182
2043,0,0,184
2045,0,4,181
2046,0,5,176
2049,0,2,169
2051,0,1,163
2052,0,5,150
2054,1,2,142
2055,0,4,128
2057,0,4,121
2059,0,5,110
2060,1,4,105
2062,0,2,96
2063,0,4,90
2065,0,4,83
2066,0,3,82
2068,0,3,83
2069,0,4,81
2071,0,3,84
2073,0,6,90
2074,0,2,93
2076,1,3,102
2077,0,6,108
2079,0,1,121
2080,0,3,128
2082,0,6,139
2084,0,3,155
2085,0,4,158
2087,0,2,168
2088,0,1,179
2091,0,2,182
2093,0,4,181
2094,0,4,184
2096,0,4,179
2097,0,2,181
2099,0,2,169
2101,0,6,160
2102,0,4,150
2104,1,1,142
2105,0,4,131
2107,0,4,120
2109,0,5,110
2110,1,3,101
2112,0,4,92
2113,0,3,90
2115,0,3,82
2116,0,7,85
2118,0,1,83
2119,0,3,84
2121,0,5,83
2123,0,3,91
2124,1,3,91
2126,0,5,101
2127,0,2,108
2129,0,3,122
2130,1,4,130
2132,0,4,141
2135,0,3,150
2136,0,1,160
2138,0,1,168
2139,0,2,176
2141,0,3,182
2143,1,4,184
2144,0,1,184
2146,0,1,182
2147,0,3,174
2149,0,3,171
2151,0,2,159
2152,0,3,148
2154,0,2,141
2155,0,4,128
2157,1,3,118
2159,2,1,109
2160,1,4,102
2162,0,4,93
2163,0,4,92
2165,1,4,86
2166,0,6,87
2168,1,5,80
2169,0,3,87
2171,1,3,88
2173,0,3,92
2174,0,4,95
2177,1,3,101
2178,0,3,108
2180,0,4,126
2181,0,4,130
2183,1,4,141
2185,-2,5,153
2186,0,4,160
2188,0,4,169
2189,0,6,176
2191,0,4,182
2193,0,2,186
2194,0,2,183
2196,0,4,184
2197,0,3,175
2199,0,3,167
2201,0,1,158
2202,0,3,146
2204,1,2,138
2205,0,2,124
2207,0,7,119
2209,0,3,108
2210,0,4,99
2212,1,4,95
2213,3,3,91
2215,3,2,84
2216,0,6,84
2219,0,3,82
2220,0,3,84
2222,-2,4,85
2224,0,3,92
2225,0,7,96
2227,0,5,104
2228,1,4,113
2230,0,5,124
2231,0,4,132
2233,1,3,142
2235,0,4,155
2236,0,6,161
2238,1,5,170
2239,0,4,177
2241,0,2,183
2243,0,4,184
2244,0,2,184
2246,1,4,179
2247,0,3,172
2249,0,3,162
2251,0,4,156
2252,0,3,146
2254,0,3,139
2255,0,2,127
2257,0,4,115
2259,0,3,104
2260,1,2,102
2263,0,4,92
2264,0,5,89
2266,0,4,83
2267,1,3,80
2269,0,3,82
2271,0,4,84
2272,0,4,88
2274,0,3,90
2275,0,3,98
2277,0,3,106
2278,1,7,115
2280,0,3,123
2282,0,3,135
2283,0,3,146
2285,0,6,157
2286,0,6,164
2288,0,2,172
2289,0,3,177
2291,0,4,182
2293,0,3,183
2294,0,2,185
2296,0,5,179
2297,0,3,173
2299,0,5,163
2301,0,3,157
2302,1,4,147
2305,0,4,134
2306,0,3,124
2308,0,2,117
2310,0,4,108
2311,0,3,96
2313,0,4,93
2314,0,4,88
2316,2,3,83
2317,3,5,82
2319,1,4,81
2321,0,4,83
2322,0,6,88
2324,0,3,91
2325,0,3,97
2327,0,3,104
2328,1,5,116
2330,0,4,125
2331,2,1,135
2333,0,3,146
2335,0,4,154
2336,1,3,169
2338,1,2,175
2339,-2,3,179
2341,0,4,184
2343,0,4,184
2344,0,4,182
2347,0,1,179
2348,0,4,173
2350,0,3,163
2352,0,2,154
2353,2,3,143
2355,2,4,135
2356,1,3,124
2358,0,4,115
2360,1,3,105
2361,2,3,98
2363,0,5,89
2364,1,5,84
2366,0,6,83
2367,0,4,81
2369,0,6,80
2371,0,3,84
2372,0,4,85
2374,1,3,92
2375,0,3,99
2377,0,3,110
2378,0,5,116
2380,0,5,124
2381,0,5,140
2383,1,3,149
2385,0,4,158
2386,0,2,164
2388,0,4,175
2390,1,3,178
2392,0,4,184
2394,0,5,185
2395,1,3,184
2397,0,2,176
2398,-2,6,168
2400,1,3,161
2402,0,2,158
2403,0,4,144
2405,2,0,132
2406,0,3,120
2408,1,3,109
2410,0,4,103
2411,1,4,96
2413,1,3,91
2414,0,5,86
2416,0,5,84
2417,0,3,79
2419,0,5,82
2421,0,3,87
2422,0,3,88
2424,0,4,90
2425,0,2,98
2427,0,3,108
2428,0,3,121
2430,0,5,128
2432,1,4,141
2434,0,4,150
2436,0,3,159
2437,0,4,169
2439,0,6,172
2440,0,3,178
2442,0,3,183
2444,0,5,182
2445,0,4,178
2447,-2,5,176
2448,1,2,169
2450,0,3,161
2452,0,3,151
2453,0,2,140
2455,0,4,132
2456,1,4,120
2458,0,4,111
2460,0,6,102
2461,0,1,97
2463,1,3,87
2464,1,3,87
2466,0,2,84
2467,2,3,81
2469,2,4,81
2471,0,4,86
2472,0,4,90
2475,1,2,93
2476,0,6,105
2478,1,4,109
2479,0,4,120
2481,0,4,128
2483,0,6,139
2484,1,3,151
2486,0,1,160
2487,0,3,168
2489,0,4,181
2491,0,3,177
2492,0,4,183
2494,1,1,184
2495,1,2,180
2497,0,3,174
2499,0,4,166
2500,0,3,158
2502,0,4,152
2503,0,4,140
2505,0,1,128
2506,0,3,117
2508,0,4,110
2510,0,4,99
2511,0,4,96
2513,0,7,90
2514,0,5,85
2516,0,6,83
2518,0,4,81
2520,0,4,85
2521,1,3,84
2523,0,3,88
2525,0,4,96
2526,0,4,100
2528,1,5,110
2529,0,5,121
2531,0,3,128
2532,-3,4,143
2534,0,2,154
2536,0,3,161
2537,0,2,170
2539,0,5,178
2540,0,4,179
2542,0,5,182
2544,0,4,184
2545,0,2,179
2547,2,3,176
2548,-2,3,165
2550,1,2,158
2552,0,2,150
2553,0,2,138
2555,0,3,130
2556,0,4,120
2558,0,4,108
2561,1,4,99
2562,0,2,93
2564,0,5,88
2565,0,4,85
2567,0,5,85
2568,1,6,80
2570,0,4,85
2571,0,3,87
2573,0,4,89
2575,2,4,92
2576,2,2,103
2578,0,3,110
